patente_id,nro_registro,nro_expediente_db,nro_expediente_indecopi,tipo,titulo,ipc_codigo,fuente,fuente_url,estado_revision,notas
415,1,002711-2022/DIN,002711-2022/DIN,Modelo de utilidad,"SISTEMA AUTOMATIZADO PARA EL PELADO, LAVADO, DESINFECCIÓN Y CORTADO DE PAPAS",,,,pendiente,
438,1168-2024,2855-2022/DIN,002855-2022/DIN,Modelo de utilidad,KIT DE ESCALERA DE EMERGENCIA ENROLLABLE,,,,pendiente,
444,3480-2024,2856-2022,002856-2022/DIN,Modelo de utilidad,FOCOS DECORATIVOS Y AHORRADORES CON AGUA,,,,pendiente,
525,RESOLUCIÓN Nº 001168-2024/DIN-INDECOPI,002855-2022/DIN,002855-2022/DIN,Modelo de utilidad,KIT DE ESCALERA DE EMERGENCIA ENROLLABLE,,,,pendiente,
526,RESOLUCIÓN Nº 001477-2024/DIN-INDECOPI,002853-2022/DIN,002853-2022/DIN,Modelo de utilidad,ASPIRADORA MECÁNICA,,,,pendiente,
527,001478-2024/DIN-INDECOPI,002857-2022/DIN,002857-2022/DIN,Modelo de utilidad,PASAMANOS HORIZONTAL PARA TECHOS DE BUSES CON INYECCIÓN DE AIRE FRESCO,,,,pendiente,
528,RESOLUCIÓN Nº 001852-2024/DIN-INDECOPI,002854-2022/DIN,002854-2022/DIN,Modelo de utilidad,BOYAS GENERADORAS DE ELECTRICIDAD PARA TRANSPORTE MARINO,,,,pendiente,
529,003480-2024/DIN-INDECOPI,002856-2022/DIN,002856-2022/DIN,Modelo de utilidad,FOCOS DECORATIVOS Y AHORRADORES DE ENERGÍA,,,,pendiente,
442,2091-2024,2937-2022,002937-2022/DIN,Modelo de utilidad,LEVANTADOR DE CAJAS,,,,pendiente,
443,3481-2024,2943-2022,002943-2022/DIN,Modelo de utilidad,SISTEMA PORTÁTIL PARA EL DESCONGELAMIENTO DE MARISCOS,,,,pendiente,
468,3639-2024,2935-2022,002935-2022/DIN,Modelo de utilidad,BANCO PRESS ELÉCTRICO,,,,pendiente,
452,283,811-2023/DIN,000811-2023/DIN,Modelo de utilidad,LENTES DE CAPTURA DE IMAGEN INALÁMBRICO,,,,pendiente,
409,1,000006-2023/DIN,000006-2023/DIN,Modelo de utilidad,MOTA MULTIFUNCIONAL PARA PIZARRA ACRILICA,,,,pendiente,
469,3742-2024,1-2023,000001-2023/DIN,Modelo de utilidad,EQUIPO DE CORTE EN L PARA LÍNEA DE PROCESAMIENTO,,,,pendiente,
463,3093-2024,823-2023,000823-2023/DIN,Modelo de utilidad,ADAPTADOR DE CAÑO CONTROLADOR DE CAUDAL,,,,pendiente,
464,3028-2024,821-2023,000821-2023/DIN,Modelo de utilidad,LAPICERO CINÉTICO,,,,pendiente,
465,469-2025,826-2023,000826-2023/DIN,Modelo de utilidad,SISTEMA DE GENERACIÓN ELÉCTRICA PARA SCOOTERS,,,,pendiente,
479,814-2025,814-2023,000814-2023/DIN,Modelo de utilidad,DISPOSITIVO PORTÁTIL DE ESCANEO CON CÁMARA,,,,pendiente,
503,1090-2025,824-2023/DIN,000824-2023/DIN,Modelo de utilidad,BASURERO GENERADOR DE ENERGÍA ELÉCTRICA,,,,pendiente,
404,1,1191-2023/DIN,001191-2023/DIN,Modelo de utilidad,CARPETA AUTÓNOMA PARA CONTROL DE ESTRÉS Y ESTIMULACIÓN DE APRENDIZAJE,,,,pendiente,
467,3300-2024,1433-2023,001433-2023/DIN,Modelo de utilidad,PIANO DE APRENDIZAJE DIDÁCTICO AUTOSUFICIENTE,,,,pendiente,"Revisar: posibles expedientes adicionales 001433-2023; 000011-2024; 000002-2025; 014384-2025; 000012-2025"
502,934-2025,1432-2023/DIN,001432-2023/DIN,Modelo de utilidad,CONTENEDOR PARA LA PRESERVACIÓN DE ARROZ COCIDO,,,,pendiente,
470,3097-2024,1466-2023,001466-2023/DIN,Modelo de utilidad,SISTEMA COMPLEMENTARIO DE SEGUIMIENTO DE LUZ SOLAR PARA UN JARDÍN HIDROPÓNICO,,,,pendiente,
476,753-2025/DIN-INDECOPI,1464-2023/DIN,001464-2023/DIN,Modelo de utilidad,COMPLEMENTO DE FILTRADO PARA SISTEMA DE COSECHA DE LLUVIAS,,,,pendiente,
480,861-2025/DIN-INDECOPI,1468-2023/DIN,001468-2023/DIN,Modelo de utilidad,TIMBALES DE APRENDIZAJE DIDÁCTICO,,,,pendiente,
496,1751-2025,1467-2023/DIN,001467-2023/DIN,Modelo de utilidad,TABLA PARA CUADERNOS CON LUZ RECARGABLE Y DE GUARDADO SENCILLO,,,,pendiente,
417,1,001548-2023/DIN,001548-2023/DIN,Modelo de utilidad,PORTA GAFAS CON SISTEMA DE LIMPIEZA INTEGRADO,,,,pendiente,
497,1546-2025,2164-2023,002164-2023/DIN,Modelo de utilidad,MEDIAS SECCIONABLES DE FÁCIL LAVADO,,,,pendiente,
466,687-2025,2356-2023,002356-2023/DIN,Modelo de utilidad,DESTILADORA DE AGUA FARMACÉUTICO EXTENDIDO,,,,pendiente,
498,1552-2025,3351-2023/DIN,003351-2023/DIN,Modelo de utilidad,MARTILLO DE REFLEJOS CON GENERACIÓN EN IMPACTO,,,,pendiente,
477,780-2025/DIN-INDECOPI,813-2023/DIN,000813-2023/DIN,Modelo de utilidad,PANEL SOLAR PARA MOCHILAS,,,,pendiente,
561,003181-2025/DIN-INDECOPI,000624-2024/DIN,000624-2024/DIN,Modelo de utilidad,MESA INTERACTIVA CON SISTEMA DE LIMPIEZA Y DESINFECCION CON AUTONOMIA ENERGETICA,,,,pendiente,
572,13675,001140-2021/DIN,001140-2021/DIN,Patente de invención,SISTEMA GENERADOR DE ENERGÍA ELÉCTRICA AUTÓNOMO A PARTIR DE AGUA DE MAR Y MÉTODO PARA GENERAR ENERGÍA ELÉCTRICA A PARTIR DE AGUA DE MAR MEDIANTE REACCIÓN CONTROLADA CON HIDRUROS METÁLICOS,,,,pendiente,
